Incident_Zip,average_time_per_month,Month
83,0.0,1
83,0.0,2
83,0.0,3
83,1.1994444444444443,4
83,0.2654166666666667,5
83,1.1813888888888888,6
83,0.0,7
83,0.0,8
83,0.0,9
83,0.0,10
83,0.0,11
83,0.0,12
10000,92.69796296296296,1
10000,79.40663194444446,2
10000,6.736527777777779,3
10000,0.8078073286052009,4
10000,7.105197428833793,5
10000,31.024321378340368,6
10000,48.55131313131313,7
10000,69.23837962962963,8
10000,28.875324074074072,9
10000,0.0,10
10000,0.0,11
10000,0.0,12
10001,196.2404190772883,1
10001,258.59770712909443,2
10001,141.61138362794614,3
10001,58.22143111518111,4
10001,57.69396264908977,5
10001,56.22385224447062,6
10001,50.38285819337698,7
10001,50.6846169497523,8
10001,18.69497258127693,9
10001,0.0,10
10001,0.0,11
10001,0.0,12
10002,155.19511560457516,1
10002,156.9475568792918,2
10002,148.60660340600649,3
10002,90.46776196544889,4
10002,55.92335023353,5
10002,62.03182756888254,6
10002,73.79849001779557,7
10002,54.93480575806669,8
10002,22.736451629224856,9
10002,0.0,10
10002,0.0,11
10002,0.0,12
10003,176.38697872434537,1
10003,188.3911062061132,2
10003,205.00697983184327,3
10003,82.0589699074074,4
10003,60.448189215386186,5
10003,87.45547201531139,6
10003,116.89800964378,7
10003,80.50811391784728,8
10003,30.71514574759945,9
10003,0.0,10
10003,0.0,11
10003,0.0,12
10004,60.83554882737409,1
10004,116.80856550580432,2
10004,173.81582358674464,3
10004,142.40015624999998,4
10004,63.47812757201646,5
10004,55.0547653256705,6
10004,102.5153053931124,7
10004,83.74068181818181,8
10004,37.49643298059965,9
10004,0.0,10
10004,0.0,11
10004,0.0,12
10005,63.470904605263165,1
10005,87.25359241452992,2
10005,214.37593971631205,3
10005,35.7907283197832,4
10005,131.9046918767507,5
10005,70.24739923747276,6
10005,81.72885777777778,7
10005,58.25532505910166,8
10005,20.541736736736738,9
10005,0.0,10
10005,0.0,11
10005,0.0,12
10006,131.28956304619226,1
10006,112.74118253968254,2
10006,262.87890301318265,3
10006,57.074050387596905,4
10006,71.13775793650794,5
10006,87.44265729585007,6
10006,93.38681341719077,7
10006,66.02162326388888,8
10006,34.16876331811263,9
10006,0.0,10
10006,0.0,11
10006,0.0,12
10007,116.14210822510825,1
10007,136.49234986627766,2
10007,98.62288056779246,3
10007,94.9015101010101,4
10007,44.27294729344729,5
10007,123.60233309990664,6
10007,98.24985294117648,7
10007,78.20197463768116,8
10007,34.563245294474804,9
10007,0.0,10
10007,0.0,11
10007,0.0,12
10009,140.41539651837522,1
10009,124.44796531854752,2
10009,189.79352084972464,3
10009,54.20878117913832,4
10009,35.2912663723326,5
10009,48.82722771500314,6
10009,88.10785724606271,7
10009,54.01951913543525,8
10009,21.138944266524334,9
10009,0.0,10
10009,0.0,11
10009,0.0,12
10010,278.13703101030023,1
10010,198.118898957593,2
10010,94.44451668530948,3
10010,61.84257020091987,4
10010,73.4847701486698,5
10010,55.49011177136389,6
10010,141.0691158234127,7
10010,60.4439253647587,8
10010,30.696140740740734,9
10010,0.0,10
10010,0.0,11
10010,0.0,12
10011,185.7942157035471,1
10011,204.50649,2
10011,180.68247991557732,3
10011,86.35428497139885,4
10011,82.50067080045096,5
10011,105.20455164813144,6
10011,118.70480292588562,7
10011,66.06862127735917,8
10011,30.509944444444447,9
10011,0.0,10
10011,0.0,11
10011,0.0,12
10012,175.50785760428204,1
10012,171.04258469945356,2
10012,241.1930424903431,3
10012,64.97537983425414,4
10012,115.96089983022073,5
10012,87.48679418453541,6
10012,166.08665820868947,7
10012,80.82150165016502,8
10012,28.92945614035088,9
10012,0.0,10
10012,0.0,11
10012,0.0,12
10013,130.9326790471713,1
10013,121.89476376300772,2
10013,166.60180235535074,3
10013,88.50219067215363,4
10013,42.115965719063546,5
10013,89.30313831660503,6
10013,84.95751006441223,7
10013,65.68122401937802,8
10013,29.52582070707071,9
10013,0.0,10
10013,0.0,11
10013,0.0,12
10014,179.5845283018868,1
10014,130.71114876171353,2
10014,283.5113163452709,3
10014,83.83153629629629,4
10014,56.97074854651163,5
10014,99.27291028845153,6
10014,157.43209234077173,7
10014,66.72286676140209,8
10014,32.72805186660764,9
10014,0.0,10
10014,0.0,11
10014,0.0,12
10016,126.88223256635382,1
10016,190.73201755651755,2
10016,144.53628070175438,3
10016,85.91612460638777,4
10016,56.63350926850927,5
10016,112.5906209304768,6
10016,109.14384885378962,7
10016,134.3410734299517,8
10016,62.50459350221399,9
10016,0.0,10
10016,0.0,11
10016,0.0,12
10017,304.5514890350877,1
10017,310.83653708668453,2
10017,288.85150041305246,3
10017,68.4125424701561,4
10017,44.15547839506173,5
10017,75.5207365466512,6
10017,106.82646599070551,7
10017,92.03751543209876,8
10017,23.89798935617861,9
10017,0.0,10
10017,0.0,11
10017,0.0,12
10018,187.89805476641413,1
10018,313.7573168789809,2
10018,270.81289824771005,3
10018,54.3033466241361,4
10018,64.03141754850088,5
10018,53.57821256038648,6
10018,98.46929512258735,7
10018,50.50435305658819,8
10018,12.891698047419805,9
10018,0.0,10
10018,0.0,11
10018,0.0,12
10019,147.2900380038004,1
10019,173.7505018536692,2
10019,179.07360494841598,3
10019,69.76598515519568,4
10019,41.33563633238807,5
10019,74.18787982333798,6
10019,101.45258371385084,7
10019,46.3027146942552,8
10019,18.62847450264964,9
10019,0.0,10
10019,0.0,11
10019,0.0,12
10020,498.5042592592592,1
10020,145.6326,2
10020,202.4851495726496,3
10020,0.25125,4
10020,0.2415277777777777,5
10020,62.391507936507935,6
10020,118.5054365079365,7
10020,15.510173611111112,8
10020,11.679242424242425,9
10020,0.0,10
10020,0.0,11
10020,0.0,12
10021,150.93691160372194,1
10021,165.2163507625272,2
10021,278.16983091787444,3
10021,122.9406812169312,4
10021,121.07348986794172,5
10021,135.71093446824088,6
10021,187.3317900516796,7
10021,86.63353023909987,8
10021,47.27532196969697,9
10021,0.0,10
10021,0.0,11
10021,0.0,12
10022,177.4248823582036,1
10022,230.23982771970577,2
10022,180.42007164669957,3
10022,139.84142962962963,4
10022,99.67956883087908,5
10022,102.86892101621194,6
10022,117.847027479092,7
10022,88.1091225749559,8
10022,30.578698229077407,9
10022,0.0,10
10022,0.0,11
10022,0.0,12
10023,146.8310823092678,1
10023,137.32283317836666,2
10023,168.62155458742924,3
10023,87.57291182733256,4
10023,42.61339305555556,5
10023,70.724571616048,6
10023,105.65476211903048,7
10023,59.2534719241774,8
10023,21.00120583370921,9
10023,0.0,10
10023,0.0,11
10023,0.0,12
10024,134.13219739455542,1
10024,160.48564969931272,2
10024,201.70810329218105,3
10024,122.93778224365845,4
10024,78.4703725824801,5
10024,102.2947962274542,6
10024,76.86057526881721,7
10024,64.91763589666866,8
10024,26.657579545454546,9
10024,0.0,10
10024,0.0,11
10024,0.0,12
10025,133.1974918688467,1
10025,182.94794780112863,2
10025,213.8159244628376,3
10025,130.9303932409628,4
10025,65.01603659368392,5
10025,82.93490583371613,6
10025,98.49967291045834,7
10025,65.42783493077742,8
10025,24.682210366965784,9
10025,0.0,10
10025,0.0,11
10025,0.0,12
10026,140.80777178257395,1
10026,114.63610387522108,2
10026,186.150285462204,3
10026,109.77198443223443,4
10026,89.55718370522162,5
10026,41.974283284385706,6
10026,67.11455003050641,7
10026,46.64977410901468,8
10026,11.2620883470551,9
10026,0.0,10
10026,0.0,11
10026,0.0,12
10027,130.1672537878788,1
10027,126.74357121879588,2
10027,222.2244550855724,3
10027,115.30810528776672,4
10027,68.79811863779382,5
10027,83.62068133471851,6
10027,91.21391588117682,7
10027,65.84921583459405,8
10027,23.55584486598266,9
10027,0.0,10
10027,0.0,11
10027,0.0,12
10028,130.76005308183878,1
10028,132.71806539351851,2
10028,178.4673706577975,3
10028,64.11496929327286,4
10028,61.82052828513445,5
10028,91.23148600554951,6
10028,153.99124109901922,7
10028,67.60317634363687,8
10028,21.895337390296405,9
10028,0.0,10
10028,0.0,11
10028,0.0,12
10029,106.31163852498788,1
10029,137.2996987982483,2
10029,161.7538333786478,3
10029,127.38508748741188,4
10029,91.65581391954224,5
10029,50.31293005671077,6
10029,87.45833067401605,7
10029,50.26782016836826,8
10029,19.43533099191145,9
10029,0.0,10
10029,0.0,11
10029,0.0,12
10030,131.91671855493132,1
10030,90.97579535054,2
10030,361.33745535714286,3
10030,124.4740873015873,4
10030,126.23400442716768,5
10030,59.14168005983441,6
10030,121.41193724382408,7
10030,73.35901490066226,8
10030,32.25367611434108,9
10030,0.0,10
10030,0.0,11
10030,0.0,12
10031,96.06435391951618,1
10031,102.31094095288606,2
10031,259.13915278703087,3
10031,157.5047268601338,4
10031,75.48078877244839,5
10031,67.66563076640062,6
10031,67.10813490935506,7
10031,57.90675853407698,8
10031,17.319060174240434,9
10031,0.0,10
10031,0.0,11
10031,0.0,12
10032,134.0163530027933,1
10032,185.6503151997263,2
10032,207.3367871315193,3
10032,152.4236463276836,4
10032,83.84075989006038,5
10032,50.968483093337134,6
10032,39.66824441336836,7
10032,34.59693817368314,8
10032,17.74136152721037,9
10032,0.0,10
10032,0.0,11
10032,0.0,12
10033,133.52127082292188,1
10033,146.92023120138288,2
10033,247.10155116395316,3
10033,196.10426068722944,4
10033,80.22388611600444,5
10033,57.864985011990406,6
10033,53.4658785685565,7
10033,40.595812675590814,8
10033,15.684850918244344,9
10033,0.0,10
10033,0.0,11
10033,0.0,12
10034,135.25141297366733,1
10034,113.89488864942528,2
10034,245.41006757369613,3
10034,101.3989809299247,4
10034,41.71375392341494,5
10034,28.412370999431257,6
10034,39.9570612087847,7
10034,20.31961644444445,8
10034,6.672827368567069,9
10034,0.0,10
10034,0.0,11
10034,0.0,12
10035,122.57835590756044,1
10035,160.95713806035235,2
10035,249.88126182408584,3
10035,183.1666942175548,4
10035,104.668298047331,5
10035,66.61914094280928,6
10035,112.80792898402989,7
10035,61.30301661669166,8
10035,28.97223670352817,9
10035,0.0,10
10035,0.0,11
10035,0.0,12
10036,228.1529424157303,1
10036,238.84503022452503,2
10036,220.46924440483264,3
10036,96.55288063691306,4
10036,50.59910197869102,5
10036,79.15519814814814,6
10036,114.65795721187024,7
10036,53.755114466815805,8
10036,24.00307324016563,9
10036,0.0,10
10036,0.0,11
10036,0.0,12
10037,107.54971558872305,1
10037,175.40857592592593,2
10037,265.6118485380117,3
10037,64.94677397446345,4
10037,74.4094957774466,5
10037,67.13796674413457,6
10037,95.64237831294598,7
10037,73.76359538784067,8
10037,11.61096188158962,9
10037,0.0,10
10037,0.0,11
10037,0.0,12
10038,80.58697860481841,1
10038,76.7656045751634,2
10038,100.59359021035598,3
10038,69.74613278741168,4
10038,28.6167784992785,5
10038,78.69090277777778,6
10038,78.69481717965509,7
10038,81.76284472934474,8
10038,29.92443551587301,9
10038,0.0,10
10038,0.0,11
10038,0.0,12
10039,128.1231005892256,1
10039,144.3377600879709,2
10039,204.7806821779044,3
10039,145.85037413429689,4
10039,102.99769582565992,5
